"trial","subID","cond","dim","resp","corr","acc","rt"
6,158136,"control","texture",1,1,1,1882
7,158136,"control","shape",0,0,1,1596
8,158136,"control","texture",0,0,1,1620
9,158136,"control","texture",1,1,1,1181
10,158136,"relational","shape",1,0,0,3128
11,158136,"relational","texture",0,0,1,2794
12,158136,"relational","texture",0,1,0,2462
13,158136,"relational","shape",0,0,1,537
14,158136,"control","shape",1,1,1,1932
15,158136,"control","shape",0,0,1,1628
16,158136,"control","texture",0,0,1,1799
17,158136,"control","texture",1,1,1,1882
18,158136,"control","texture",0,1,0,1437
19,158136,"control","shape",0,0,1,972
20,158136,"control","texture",0,0,1,1667
21,158136,"control","shape",0,1,0,1235
22,158136,"control","shape",0,0,1,1529
23,158136,"control","texture",0,1,0,780
24,158136,"relational","texture",0,0,1,2905
25,158136,"relational","texture",0,1,0,2489
26,158136,"relational","shape",0,1,0,1796
27,158136,"relational","texture",0,0,1,2001
1,162026,"relational","texture",0,0,1,1509
2,162026,"relational","texture",1,1,1,1511
3,162026,"relational","shape",1,1,1,2021
4,162026,"relational","texture",0,0,1,1574
5,162026,"control","shape",0,1,0,1081
6,162026,"control","texture",1,1,1,1246
7,162026,"control","shape",0,0,1,1282
8,162026,"control","texture",0,0,1,1263
9,162026,"control","texture",1,1,1,871
10,162026,"relational","shape",0,0,1,1399
11,162026,"relational","texture",0,0,1,1714
12,162026,"relational","texture",1,1,1,1547
13,162026,"relational","shape",0,0,1,1694
14,162026,"control","shape",1,1,1,1200
15,162026,"control","shape",0,0,1,974
16,162026,"control","texture",0,0,1,1131
17,162026,"control","texture",1,1,1,1174
18,162026,"control","texture",1,1,1,1255
19,162026,"control","shape",0,0,1,1091
20,162026,"control","texture",0,0,1,999
21,162026,"control","shape",1,1,1,939
22,162026,"control","shape",0,0,1,979
23,162026,"control","texture",1,1,1,1273
24,162026,"relational","texture",0,0,1,1939
25,162026,"relational","texture",1,1,1,1867
26,162026,"relational","shape",1,1,1,1837
27,162026,"relational","texture",0,0,1,2117
1,164636,"relational","texture",1,0,0,2059
2,164636,"relational","texture",0,1,0,1884
